Alabama|Camellia|Yellowhammer
Alaska|Forget Me Not|Willow Ptarmigan
Arizona|Saguaro Cactus Blossom|CactusWren
Arkansas|Apple blossom|Mockingbird
California|Golden poppy|California Valley Quail
Colorado|Rocky Mountain columbine|Lark Bunting
Connecticut|Mountain laurel|Robin
Delaware|Peach blossom|Blue Hen Chicken
Florida|Orange blossom|Mockingbird
Georgia|Cherokee rose|Brown Thrasher
Hawaii|Hibiscus|Nene
Idaho|Syringa|Mountain Bluebird
Illinois|Violet|Cardinal
Indiana|Peony|Cardinal
Iowa|Wild rose|Eastern Goldfinch
Kansas|Sunflower|Western Meadowlark
Kentucky|Goldenrod|Cardinal
Louisiana|Magnolia|Eastern Brown Pelican
Maine|White Pine Cone and Tassel|Chickadee
Maryland|Blackeyed Susan|Baltimore Oriole
Massachusetts|Mayflower|Chickadee
Michigan|Apple blossom|Robin
Minnesota|Lady slipper|Common Loon
Mississippi|Bloom of the Magnolia or Evergreen Magnolia|Mockingbird
Missouri|Hawthorn|Bluebird
Montana|Bitterroot|Western Meadowlark
Nebraska|Goldenrod|Western Meadowlark
Nevada|Sagebrush|Mountain Bluebird
New Hampshire|Purple lilac|PurpleFinch
New Jersey|Purple violet|Eastern Goldfinch
New Mexico|Yucca|Roadrunner
New York|Rose|Bluebird
North Carolina|Dogwood|Cardinal
North Dakota|Wild prairie rose|Western Meadowlark
Ohio|Scarlet Carnation|Cardinal
Oklahoma|Mistletoe|Tailed Flycatcher
Oregon|Oregon grape|Western Meadow lark
Pennsylvania|Mountain laurel|Ruffed Grouse
Rhode Island|Violet|Rhode Island Red
South Carolina|Carolina Yellow Jessamine|Great Carolina Wren
South Dakota|American Pasqueflower|necked Pheasant
Tennessee|Iris|Mockingbird
Texas|Bluebonnet|Mockingbird
Utah|Sego lily|Common American Gull
Vermont|Red clover|Hermit Thrush
Virginia|American dogwood|Cardinal
Washington|Coast rhododendron|Willow Gold finch
West Virginia|Rhododendron|Cardinal
Wisconsin|Wood violet|Robin
Wyoming|Indian paintbrush|Western Meadowlark
